,msla,msla (orig),trend,msla (detrend)
1979-05-31,-8.441666666666677,-5.2,-13.802290888908573,5.360624222241896
1979-06-30,-4.316666666666663,-1.8,-13.755769643915734,9.439102977249071
1979-07-31,-3.299999999999997,-1.0,-13.709248398922902,10.409248398922905
1979-08-31,,,-13.66272715393007,
1979-09-30,-6.854545454545445,-5.3,-13.61620590893724,6.761660454391794
1979-10-31,-10.341666666666669,-8.1,-13.5696846639444,3.228017997277732
1979-11-30,-4.983333333333334,-2.4,-13.523163418951569,8.539830085618235
1979-12-31,-5.083333333333357,-0.1,-13.476642173958737,8.39330884062538
1980-01-31,-9.109090909090895,-3.5,-13.430120928965906,4.3210300198750105
1980-02-29,-6.849999999999994,-4.9,-13.383599683973067,6.533599683973073
1980-03-31,-5.883333333333354,-3.4,-13.337078438980235,7.453745105646881
1980-04-30,,,-13.290557193987404,
1980-05-31,,,-13.244035948994572,
1980-06-30,-12.016666666666666,-9.5,-13.19751470400174,1.1808480373350747
1980-07-31,-12.599999999999994,-10.3,-13.150993459008902,0.5509934590089074
1980-08-31,-7.927272727272737,-6.3,-13.10447221401607,5.1771994867433335
1980-09-30,-1.6545454545454419,-0.1,-13.057950969023238,11.403405514477797
1980-10-31,-7.341666666666669,-5.1,-13.011429724030407,5.669763057363738
1980-11-30,-8.983333333333334,-6.4,-12.964908479037568,3.981575145704234
1980-12-31,-7.383333333333354,-2.4,-12.918387234044737,5.535053900711382
1981-01-31,-9.20909090909089,-3.6,-12.871865989051905,3.6627750799610155
1981-02-28,-5.249999999999986,-3.3,-12.825344744059073,7.5753447440590875
1981-03-31,-5.383333333333354,-2.9,-12.778823499066235,7.39549016573288
1981-04-30,-7.583333333333357,-4.5,-12.732302254073403,5.148968920740046
1981-05-31,-8.441666666666677,-5.2,-12.685781009080571,4.244114342413894
1981-06-30,-2.61666666666666,-0.1,-12.63925976408774,10.02259309742108
1981-07-31,-1.2999999999999972,1.0,-12.592738519094908,11.292738519094911
1981-08-31,-5.627272727272739,-4.0,-12.54621727410207,6.91894454682933
1981-09-30,-4.054545454545448,-2.5,-12.499696029109238,8.44515057456379
1981-10-31,-7.441666666666677,-5.2,-12.453174784116406,5.011508117449729
1981-11-30,-7.783333333333331,-5.2,-12.406653539123575,4.623320205790243
1981-12-31,-2.383333333333354,2.6,-12.360132294130736,9.976798960797382
1982-01-31,-3.109090909090895,2.5,-12.313611049137904,9.20452014004701
1982-02-28,-9.449999999999989,-7.5,-12.267089804145073,2.817089804145084
1982-03-31,-8.283333333333346,-5.8,-12.220568559152241,3.9372352258188954
1982-04-30,-17.18333333333335,-14.1,-12.174047314159402,-5.009286019173949
1982-05-31,-14.441666666666677,-11.2,-12.12752606916657,-2.3141405975001064
1982-06-30,-11.416666666666671,-8.9,-12.081004824173739,0.6643381575070677
1982-07-31,-15.700000000000003,-13.4,-12.034483579180907,-3.6655164208190953
1982-08-31,-17.327272727272742,-15.7,-11.987962334188076,-5.339310393084666
1982-09-30,-24.054545454545448,-22.5,-11.941441089195237,-12.11310436535021
1982-10-31,-15.441666666666677,-13.2,-11.894919844202406,-3.5467468224642715
1982-11-30,-24.28333333333333,-21.7,-11.848398599209574,-12.434934734123757
1982-12-31,-35.28333333333336,-30.3,-11.801877354216742,-23.481455979116618
1983-01-31,-23.409090909090892,-17.8,-11.755356109223904,-11.653734799866989
1983-02-28,-8.949999999999989,-7.0,-11.708834864231072,2.7588348642310834
1983-03-31,-11.383333333333354,-8.9,-11.66231361923824,0.2789802859048862
1983-04-30,-9.183333333333351,-6.1,-11.615792374245409,2.4324590409120574
1983-05-31,-0.34166666666666856,2.9,-11.569271129252577,11.227604462585909
1983-06-30,3.9833333333333343,6.5,-11.522749884259738,15.506083217593073
1983-07-31,6.299999999999997,8.6,-11.476228639266907,17.776228639266904
1983-08-31,4.672727272727258,6.3,-11.429707394274075,16.102434667001333
1983-09-30,5.945454545454552,7.5,-11.383186149281244,17.328640694735796
1983-10-31,2.558333333333323,4.8,-11.336664904288405,13.894998237621728
1983-11-30,-1.3833333333333258,1.2,-11.290143659295573,9.906810325962248
1983-12-31,-6.883333333333354,-1.9,-11.243622414302742,4.3602890809693875
